day,month,year
31,12,2010
17,1,2011
21,2,2011
15,4,2011
30,5,2011
4,7,2011
5,9,2011
10,10,2011
11,11,2011
24,11,2011
26,12,2011
1,1,2010
18,1,2010
15,2,2010
16,4,2010
31,5,2010
5,7,2010
6,9,2010
11,10,2010
11,11,2010
25,11,2010
24,12,2010
1,1,2013
21,1,2013
18,2,2013
16,4,2013
27,5,2013
4,7,2013
2,9,2013
14,10,2013
11,11,2013
28,11,2013
25,12,2013
2,1,2012
16,1,2012
20,2,2012
16,4,2012
28,5,2012
4,7,2012
3,9,2012
8,10,2012
12,11,2012
22,11,2012
25,12,2012
1,1,2015
19,1,2015
16,2,2015
16,4,2015
25,5,2015
3,7,2015
7,9,2015
12,10,2015
11,11,2015
26,11,2015
25,12,2015
1,1,2014
20,1,2014
17,2,2014
16,4,2014
26,5,2014
4,7,2014
1,9,2014
13,10,2014
11,11,2014
27,11,2014
25,12,2014
2,1,2017
16,1,2017
20,1,2017
20,2,2017
17,4,2017
29,5,2017
4,7,2017
4,9,2017
9,10,2017
10,11,2017
23,11,2017
25,12,2017
1,1,2016
18,1,2016
15,2,2016
15,4,2016
30,5,2016
4,7,2016
5,9,2016
10,10,2016
11,11,2016
24,11,2016
26,12,2016
